Emoji,Unicode codepoint,Occurrences
😂,1F602,754843296
♥,2665,524698612
❤,2764,341911962
😍,1F60D,319310348
😒,1F612,282824635
😊,1F60A,239396341
😭,1F62D,235371370
☺,263A,218194544
😘,1F618,218118200
👌,1F44C,216474343
💕,1F495,207761611
😩,1F629,200190869
😔,1F614,176890966
😏,1F60F,161571042
😁,1F601,156701240
🙏,1F64F,108313552
👍,1F44D,103659680
😳,1F633,101446264
🙌,1F64C,101401014
😉,1F609,93130132
✌,270C,92918671
😌,1F60C,89167611
🙈,1F648,87361590
💁,1F481,80658432
😎,1F60E,77342110
🎶,1F3B6,75686787
👀,1F440,73298395
😄,1F604,69979164
😴,1F634,69145415
😢,1F622,66115753
😑,1F611,65146774
💖,1F496,63618206
💯,1F4AF,62290703
😜,1F61C,62114227
😞,1F61E,61070323
💜,1F49C,60469119
✨,2728,60185885
😋,1F60B,59267903
👏,1F44F,58380838
😕,1F615,58018713
😅,1F605,56761959
💙,1F499,56461105
🙊,1F64A,55041267
✋,270B,54103833
😐,1F610,53358696
💔,1F494,53230593
😪,1F62A,49970036
💗,1F497,48133212
💞,1F49E,47878441
💘,1F498,47752224
💋,1F48B,45098484
😱,1F631,44273326
😡,1F621,42365269
😫,1F62B,40627490
👊,1F44A,40302227
☀,2600,40252825
😃,1F603,38848201
🌸,1F338,38808623
😈,1F608,38262758
😝,1F61D,35285546
🌹,1F339,34347008
😤,1F624,34171254
👋,1F44B,33676745
✔,2714,32993404
💪,1F4AA,32944700
🎉,1F389,32191417
💛,1F49B,31129058
😷,1F637,30366008
👉,1F449,29947346
😣,1F623,29098660
💚,1F49A,28702288
😓,1F613,27457364
😻,1F63B,27219133
😆,1F606,26697893
💀,1F480,25767749
🔥,1F525,25630578
🌚,1F31A,25219451
😚,1F61A,24234959
😖,1F616,24103082
🔫,1F52B,23078175
😥,1F625,22955877
🙋,1F64B,22833309
😠,1F620,22421053
😬,1F62C,21531678
👈,1F448,21480709
✊,270A,21475921
🎧,1F3A7,21452127
🙅,1F645,21389151
💓,1F493,21299988
👑,1F451,21151848
😀,1F600,20779182
👎,1F44E,20520127
😛,1F61B,20268580
💃,1F483,19881745
🌟,1F31F,18833513
▶,25B6,18473269
😶,1F636,18318306
☑,2611,15942012
💩,1F4A9,15713610
💫,1F4AB,15694642
©,00A9,15625636
🐧,1F427,15243154
🚶,1F6B6,15228091
🎵,1F3B5,15184245
💎,1F48E,14671903
🙆,1F646,14556644
😰,1F630,14442860
😇,1F607,14336791
💥,1F4A5,14243458
🍕,1F355,13936290
👐,1F450,12771908
💭,1F4AD,12739529
🌞,1F31E,12718738
💤,1F4A4,12511349
✈,2708,12497804
🙇,1F647,12132198
➡,27A1,12006565
🎀,1F380,11675034
👽,1F47D,11656421
👼,1F47C,11555320
🍀,1F340,11470192
😹,1F639,11452894
👇,1F447,11434167
💅,1F485,11319898
❌,274C,10994076
☁,2601,10910631
👅,1F445,10866564
👯,1F46F,10813999
◀,25C0,10805372
♣,2663,10574987
😟,1F61F,10519203
🌍,1F30D,10479114
😨,1F628,10456887
🍃,1F343,10397878
🌺,1F33A,10348507
✅,2705,10307703
💦,1F4A6,10210789
❄,2744,10142321
⭐,2B50,9975235
☝,261D,9918192
✖,2716,9860679
🎈,1F388,9808227
🔴,1F534,9769858
❗,2757,9638316
🎁,1F381,8893712
⬅,2B05,8890498
🌎,1F30E,8845159
🏃,1F3C3,8743346
🎤,1F3A4,8722531
🌙,1F319,8122474
💝,1F49D,8098170
⚽,26BD,7972397
👫,1F46B,7839732
🌻,1F33B,7765068
🌿,1F33F,7732282
👆,1F446,7722165
‼,203C,7653957
♨,2668,7634246
🍻,1F37B,7546644
👻,1F47B,7543983
🙉,1F649,7539690
🐶,1F436,7536283
🙍,1F64D,7531187
🌴,1F334,7516661
💏,1F48F,7438784
😙,1F619,7416131
😵,1F635,7399442
💰,1F4B0,7309270
🎄,1F384,7240167
🏀,1F3C0,7147294
💟,1F49F,6905287
🌈,1F308,6887913
💐,1F490,6864552
💆,1F486,6814269
👭,1F46D,6761020
🎥,1F3A5,6681927
🌵,1F335,6630654
👸,1F478,6591434
😯,1F62F,6494825
😧,1F627,6474573
😲,1F632,6406047
🌝,1F31D,6402123
😮,1F62E,6360003
🌀,1F300,6358332
💨,1F4A8,6357622
💍,1F48D,6317755
🌷,1F337,6317749
🎂,1F382,6268262
😿,1F63F,6212963
🐱,1F431,6200370
☎,260E,6167437
☕,2615,6073663
💸,1F4B8,5741314
🎊,1F38A,5711124
🔪,1F52A,5670100
🎅,1F385,5636088
🌏,1F30F,5502470
🎸,1F3B8,5437834
⛄,26C4,5352949
💬,1F4AC,5215672
